first equation passed
second equation passed
third equation passed
46 <http://ip/12538> <http://vector-b-score> "0.0438246171151"
47 <http://ip/10298> <http://vector-b-score> "0.00547807713938"
48 <http://ip/11052> <http://vector-b-score> "9.98526525314e-06"
49 <http://ip/10136> <http://vector-c-score> "8.65180905913e-07"
50 <http://ip/10915> <http://vector-c-score> "2.59554271774e-06"
51 <http://ip/10298> <http://vector-c-score> "2.75349608218e-05"
52 <http://ip/11052> <http://vector-c-score> "1.73036181183e-06"
done with iterNo 2
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/10582> <http://vector-a-score> "0.126198354732"
1 <http://ip/12328> <http://vector-a-score> "0.00450708409758"
2 <http://ip/10284> <http://vector-a-score> "0.450708409758"
3 <http://ip/10915> <http://vector-a-score> "0.405637568782"
4 <http://ip/12538> <http://vector-a-score> "0.0742050226915"
5 <http://ip/10581> <http://vector-a-score> "0.13070543883"
6 <http://ip/11339> <http://vector-a-score> "0.649020110052"
7 <http://ip/12685> <http://vector-a-score> "0.0721133455613"
8 <http://ip/12418> <http://vector-a-score> "0.324510055026"
9 <http://ip/1053> <http://vector-a-score> "0.0135212522927"
10 <http://ip/11342> <http://vector-a-score> "0.054085009171"
11 <http://ip/10371> <http://vector-a-score> "0.117184186537"
12 <http://ip/10963> <http://vector-a-score> "0.0135212522927"
13 <http://ip/10914> <http://vector-a-score> "0.11267710244"
14 <http://ip/11017> <http://vector-a-score> "0.0360566727806"
15 <http://ip/10801> <http://vector-a-score> "0.0135212522927"
16 <http://ip/29792> <http://vector-a-score> "0.0721133455613"
17 <http://ip/11093> <http://vector-a-score> "0.0180283363903"
18 <http://ip/12327> <http://vector-a-score> "0.0180283363903"
19 <http://ip/11052> <http://vector-a-score> "0.0360566727806"
20 <http://ip/10580> <http://vector-a-score> "0.13070543883"
21 <http://ip/12239> <http://vector-a-score> "0.00901416819516"
22 <http://ip/11016> <http://vector-a-score> "0.0360566727806"
23 <http://ip/10632> <http://vector-a-score> "0.00450708409758"
24 <http://ip/12329> <http://vector-a-score> "0.0135212522927"
25 <http://ip/10136> <http://vector-a-score> "0.0180283363903"
26 <http://ip/10298> <http://vector-a-score> "0.000261459641274"
27 <http://ip/10857> <http://vector-a-score> "0.0315495886831"
28 <http://ip/12672> <http://vector-a-score> "0.0450708409758"
29 <http://ip/11054> <http://vector-a-score> "0.00450708409758"
30 <http://ip/12322> <http://vector-a-score> "0.0270425045855"
31 <http://ip/12677> <http://vector-a-score> "0.00901416819516"
32 <http://ip/11061> <http://vector-a-score> "0.00450708409758"
33 <http://ip/10960> <http://vector-a-score> "0.00450708409758"
34 <http://ip/10621> <http://vector-a-score> "0.00450708409758"
35 <http://ip/10486> <http://vector-a-score> "0.00450708409758"
36 <http://ip/11542> <http://vector-a-score> "0.00450708409758"
37 <http://ip/10964> <http://vector-a-score> "0.00901416819516"
38 <http://ip/1253> <http://vector-a-score> "0.00450708409758"
39 <http://ip/10728> <http://vector-a-score> "0.00450708409758"
40 <http://ip/10289> <http://vector-a-score> "0.00450708409758"
41 <http://ip/12444> <http://vector-a-score> "0.00450708409758"
42 <http://ip/10204> <http://vector-a-score> "0.00450708409758"
43 <http://ip/11043> <http://vector-a-score> "0.00901416819516"
44 <http://ip/10205> <http://vector-a-score> "0.00450708409758"
45 <http://ip/10136> <http://vector-b-score> "1.58138389581e-05"
46 <http://ip/11052> <http://vector-b-score> "1.58138389581e-05"
47 <http://ip/12538> <http://vector-b-score> "1.58138389581e-05"
48 <http://ip/10298> <http://vector-b-score> "1.97672986976e-06"
49 <http://ip/12538> <http://vector-c-score> "3.52162866356e-07"
50 <http://ip/10136> <http://vector-c-score> "1.36894466462e-06"
51 <http://ip/11052> <http://vector-c-score> "2.73788932924e-06"
52 <http://ip/10298> <http://vector-c-score> "9.9267002009e-09"
done with iterNo 3
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/10580> <http://vector-a-score> "6.43431464191e-05"
1 <http://ip/12685> <http://vector-a-score> "3.54996669899e-05"
2 <http://ip/12538> <http://vector-a-score> "3.60610530067e-05"
3 <http://ip/12418> <http://vector-a-score> "0.000159748501454"
4 <http://ip/11339> <http://vector-a-score> "0.000319497002909"
5 <http://ip/10915> <http://vector-a-score> "0.000199685626818"
6 <http://ip/10914> <http://vector-a-score> "5.54682296717e-05"
7 <http://ip/10281> <http://vector-a-score> "6.6561875606e-06"
8 <http://ip/11342> <http://vector-a-score> "2.66247502424e-05"
9 <http://ip/10371> <http://vector-a-score> "5.76869588585e-05"
10 <http://ip/10581> <http://vector-a-score> "6.43431464191e-05"
11 <http://ip/10960> <http://vector-a-score> "2.21872918687e-06"
12 <http://ip/10582> <http://vector-a-score> "6.21244172323e-05"
13 <http://ip/12677> <http://vector-a-score> "4.43745837373e-06"
14 <http://ip/11017> <http://vector-a-score> "1.77498334949e-05"
15 <http://ip/10963> <http://vector-a-score> "6.6561875606e-06"
16 <http://ip/11054> <http://vector-a-score> "2.21872918687e-06"
17 <http://ip/10136> <http://vector-a-score> "8.87491674747e-06"
18 <http://ip/29792> <http://vector-a-score> "3.54996669899e-05"
19 <http://ip/10728> <http://vector-a-score> "2.21872918687e-06"
20 <http://ip/10857> <http://vector-a-score> "1.55311043081e-05"
21 <http://ip/12329> <http://vector-a-score> "6.6561875606e-06"
22 <http://ip/12327> <http://vector-a-score> "8.87491674747e-06"
23 <http://ip/10204> <http://vector-a-score> "2.21872918687e-06"
24 <http://ip/10964> <http://vector-a-score> "4.43745837373e-06"
25 <http://ip/12672> <http://vector-a-score> "2.21872918687e-05"
26 <http://ip/10289> <http://vector-a-score> "2.21872918687e-06"
27 <http://ip/11061> <http://vector-a-score> "2.21872918687e-06"
28 <http://ip/1253> <http://vector-a-score> "2.21872918687e-06"
29 <http://ip/12322> <http://vector-a-score> "1.33123751212e-05"
30 <http://ip/11016> <http://vector-a-score> "1.77498334949e-05"
31 <http://ip/11052> <http://vector-a-score> "1.77498334949e-05"
32 <http://ip/10205> <http://vector-a-score> "2.21872918687e-06"
33 <http://ip/10801> <http://vector-a-score> "6.6561875606e-06"
34 <http://ip/1053> <http://vector-a-score> "6.6561875606e-06"
35 <http://ip/11093> <http://vector-a-score> "8.87491674747e-06"
36 <http://ip/12444> <http://vector-a-score> "2.21872918687e-06"
37 <http://ip/10298> <http://vector-a-score> "7.01732521055e-08"
38 <http://ip/10486> <http://vector-a-score> "2.21872918687e-06"
39 <http://ip/10632> <http://vector-a-score> "2.21872918687e-06"
40 <http://ip/11542> <http://vector-a-score> "2.21872918687e-06"
41 <http://ip/11043> <http://vector-a-score> "4.43745837373e-06"
42 <http://ip/10621> <http://vector-a-score> "2.21872918687e-06"
43 <http://ip/12239> <http://vector-a-score> "4.43745837373e-06"
44 <http://ip/12328> <http://vector-a-score> "2.21872918687e-06"
45 <http://ip/10915> <http://vector-b-score> "0.319503382529"
46 <http://ip/11052> <http://vector-b-score> "0.0426004510038"
47 <http://ip/10136> <http://vector-b-score> "0.0426004510038"
48 <http://ip/10298> <http://vector-b-score> "0.00532505637547"
49 <http://ip/12538> <http://vector-c-score> "0.000990238936961"
50 <http://ip/11052> <http://vector-c-score> "0.00779858591396"
51 <http://ip/10136> <http://vector-c-score> "0.00389929295698"
52 <http://ip/10298> <http://vector-c-score> "1.5415697718e-05"
done with iterNo 4
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/11339> <http://vector-a-score> "0.195431361502"
1 <http://ip/10582> <http://vector-a-score> "0.0380005425144"
2 <http://ip/10284> <http://vector-a-score> "0.135716223266"
3 <http://ip/10915> <http://vector-a-score> "0.122144600939"
4 <http://ip/10371> <http://vector-a-score> "0.0352862180491"
5 <http://ip/11093> <http://vector-a-score> "0.00542864893062"
6 <http://ip/12418> <http://vector-a-score> "0.0977156807512"
7 <http://ip/12322> <http://vector-a-score> "0.00814297339594"
8 <http://ip/10914> <http://vector-a-score> "0.0339290558164"
9 <http://ip/10581> <http://vector-a-score> "0.039357704747"
10 <http://ip/11017> <http://vector-a-score> "0.0108572978612"
11 <http://ip/12685> <http://vector-a-score> "0.0217145957225"
12 <http://ip/10964> <http://vector-a-score> "0.00271432446531"
13 <http://ip/12538> <http://vector-a-score> "0.946766166866"
14 <http://ip/10298> <http://vector-a-score> "0.115631446393"
15 <http://ip/11342> <http://vector-a-score> "0.0162859467919"
16 <http://ip/10281> <http://vector-a-score> "0.00407148669797"
17 <http://ip/10580> <http://vector-a-score> "0.039357704747"
18 <http://ip/11016> <http://vector-a-score> "0.0108572978612"
19 <http://ip/12327> <http://vector-a-score> "0.00542864893062"
20 <http://ip/10857> <http://vector-a-score> "0.00950013562859"
21 <http://ip/11052> <http://vector-a-score> "0.0108572978612"
22 <http://ip/12672> <http://vector-a-score> "0.0135716223266"
23 <http://ip/11054> <http://vector-a-score> "0.00135716223266"
24 <http://ip/29792> <http://vector-a-score> "0.0217145957225"
25 <http://ip/10728> <http://vector-a-score> "0.00135716223266"
26 <http://ip/10486> <http://vector-a-score> "0.00135716223266"
27 <http://ip/11542> <http://vector-a-score> "0.00135716223266"
28 <http://ip/11061> <http://vector-a-score> "0.00135716223266"
29 <http://ip/10963> <http://vector-a-score> "0.00407148669797"
30 <http://ip/10801> <http://vector-a-score> "0.00407148669797"
31 <http://ip/12329> <http://vector-a-score> "0.00407148669797"
32 <http://ip/12677> <http://vector-a-score> "0.00271432446531"
33 <http://ip/12328> <http://vector-a-score> "0.00135716223266"
34 <http://ip/1253> <http://vector-a-score> "0.00135716223266"
35 <http://ip/1053> <http://vector-a-score> "0.00407148669797"
36 <http://ip/11043> <http://vector-a-score> "0.00271432446531"
37 <http://ip/12239> <http://vector-a-score> "0.00271432446531"
38 <http://ip/10205> <http://vector-a-score> "0.00135716223266"
39 <http://ip/10621> <http://vector-a-score> "0.00135716223266"
40 <http://ip/12444> <http://vector-a-score> "0.00135716223266"
41 <http://ip/10632> <http://vector-a-score> "0.00135716223266"
42 <http://ip/10960> <http://vector-a-score> "0.00135716223266"
43 <http://ip/10289> <http://vector-a-score> "0.00135716223266"
44 <http://ip/10204> <http://vector-a-score> "0.00135716223266"
45 <http://ip/10915> <http://vector-b-score> "0.000127880052358"
46 <http://ip/10136> <http://vector-b-score> "1.70506736477e-05"
47 <http://ip/12538> <http://vector-b-score> "1.70506736477e-05"
48 <http://ip/11052> <http://vector-b-score> "1.70506736477e-05"
49 <http://ip/10915> <http://vector-c-score> "5.75056839107e-06"
50 <http://ip/11052> <http://vector-c-score> "3.83371226071e-06"
51 <http://ip/10298> <http://vector-c-score> "2.04147339156e-05"
52 <http://ip/10136> <http://vector-c-score> "1.91685613036e-06"
done with iterNo 5
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/12418> <http://vector-a-score> "0.000530518177085"
1 <http://ip/10371> <http://vector-a-score> "0.000191576008392"
2 <http://ip/10581> <http://vector-a-score> "0.000213680932437"
3 <http://ip/10580> <http://vector-a-score> "0.000213680932437"
4 <http://ip/12538> <http://vector-a-score> "0.000119903082086"
5 <http://ip/10963> <http://vector-a-score> "2.21049240452e-05"
6 <http://ip/10582> <http://vector-a-score> "0.000206312624422"
7 <http://ip/11339> <http://vector-a-score> "0.00106103635417"
8 <http://ip/10136> <http://vector-a-score> "2.94732320603e-05"
9 <http://ip/10915> <http://vector-a-score> "0.000663147721356"
10 <http://ip/10960> <http://vector-a-score> "7.36830801506e-06"
11 <http://ip/10914> <http://vector-a-score> "0.000184207700377"
12 <http://ip/29792> <http://vector-a-score> "0.000117892928241"
13 <http://ip/10964> <http://vector-a-score> "1.47366160301e-05"
14 <http://ip/12329> <http://vector-a-score> "2.21049240452e-05"
15 <http://ip/12685> <http://vector-a-score> "0.000117892928241"
16 <http://ip/12672> <http://vector-a-score> "7.36830801506e-05"
17 <http://ip/10857> <http://vector-a-score> "5.15781561054e-05"
18 <http://ip/11017> <http://vector-a-score> "5.89464641205e-05"
19 <http://ip/11052> <http://vector-a-score> "5.89464641205e-05"
20 <http://ip/11043> <http://vector-a-score> "1.47366160301e-05"
21 <http://ip/12322> <http://vector-a-score> "4.42098480904e-05"
22 <http://ip/10204> <http://vector-a-score> "7.36830801506e-06"
23 <http://ip/11342> <http://vector-a-score> "8.84196961808e-05"
24 <http://ip/10281> <http://vector-a-score> "2.21049240452e-05"
25 <http://ip/11016> <http://vector-a-score> "5.89464641205e-05"
26 <http://ip/1053> <http://vector-a-score> "2.21049240452e-05"
27 <http://ip/10728> <http://vector-a-score> "7.36830801506e-06"
28 <http://ip/11542> <http://vector-a-score> "7.36830801506e-06"
29 <http://ip/10298> <http://vector-a-score> "2.51269230601e-07"
30 <http://ip/10801> <http://vector-a-score> "2.21049240452e-05"
31 <http://ip/11093> <http://vector-a-score> "2.94732320603e-05"
32 <http://ip/10205> <http://vector-a-score> "7.36830801506e-06"
33 <http://ip/12328> <http://vector-a-score> "7.36830801506e-06"
34 <http://ip/12239> <http://vector-a-score> "1.47366160301e-05"
35 <http://ip/11054> <http://vector-a-score> "7.36830801506e-06"
36 <http://ip/10632> <http://vector-a-score> "7.36830801506e-06"
37 <http://ip/1253> <http://vector-a-score> "7.36830801506e-06"
38 <http://ip/12677> <http://vector-a-score> "1.47366160301e-05"
39 <http://ip/12327> <http://vector-a-score> "2.94732320603e-05"
40 <http://ip/10486> <http://vector-a-score> "7.36830801506e-06"
41 <http://ip/12444> <http://vector-a-score> "7.36830801506e-06"
42 <http://ip/11061> <http://vector-a-score> "7.36830801506e-06"
43 <http://ip/10621> <http://vector-a-score> "7.36830801506e-06"
44 <http://ip/10289> <http://vector-a-score> "7.36830801506e-06"
45 <http://ip/11052> <http://vector-b-score> "0.0135598020325"
46 <http://ip/12538> <http://vector-b-score> "2.21679677004e-05"
47 <http://ip/10136> <http://vector-b-score> "0.0135598020325"
48 <http://ip/10298> <http://vector-b-score> "2.77099596255e-06"
49 <http://ip/12538> <http://vector-c-score> "4.8808145723e-07"
50 <http://ip/11052> <http://vector-c-score> "0.00234837351034"
51 <http://ip/10136> <http://vector-c-score> "0.00117418675517"
52 <http://ip/10298> <http://vector-c-score> "8.18259881868e-09"
done with iterNo 6
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/10371> <http://vector-a-score> "0.0236460438496"
1 <http://ip/1053> <http://vector-a-score> "0.00272838967496"
2 <http://ip/10915> <http://vector-a-score> "0.0818516902487"
3 <http://ip/10582> <http://vector-a-score> "0.0254649702996"
4 <http://ip/12418> <http://vector-a-score> "0.065481352199"
5 <http://ip/12538> <http://vector-a-score> "0.211865672186"
6 <http://ip/10580> <http://vector-a-score> "0.0263744335246"
7 <http://ip/12322> <http://vector-a-score> "0.00545677934991"
8 <http://ip/10136> <http://vector-a-score> "0.00363785289994"
9 <http://ip/10284> <http://vector-a-score> "0.0909463224986"
10 <http://ip/12327> <http://vector-a-score> "0.00363785289994"
11 <http://ip/10581> <http://vector-a-score> "0.0263744335246"
12 <http://ip/12685> <http://vector-a-score> "0.0145514115998"
13 <http://ip/11052> <http://vector-a-score> "0.00727570579988"
14 <http://ip/10914> <http://vector-a-score> "0.0227365806246"
15 <http://ip/12329> <http://vector-a-score> "0.00272838967496"
16 <http://ip/11016> <http://vector-a-score> "0.00727570579988"
17 <http://ip/29792> <http://vector-a-score> "0.0145514115998"
18 <http://ip/12677> <http://vector-a-score> "0.00181892644997"
19 <http://ip/10857> <http://vector-a-score> "0.0063662425749"
20 <http://ip/11342> <http://vector-a-score> "0.0109135586998"
21 <http://ip/11017> <http://vector-a-score> "0.00727570579988"
22 <http://ip/1253> <http://vector-a-score> "0.000909463224986"
23 <http://ip/10621> <http://vector-a-score> "0.000909463224986"
24 <http://ip/10486> <http://vector-a-score> "0.000909463224986"
25 <http://ip/10963> <http://vector-a-score> "0.00272838967496"
26 <http://ip/11093> <http://vector-a-score> "0.00363785289994"
27 <http://ip/12672> <http://vector-a-score> "0.00909463224986"
28 <http://ip/10801> <http://vector-a-score> "0.00272838967496"
29 <http://ip/10632> <http://vector-a-score> "0.000909463224986"
30 <http://ip/10964> <http://vector-a-score> "0.00181892644997"
31 <http://ip/10298> <http://vector-a-score> "0.0246642825733"
32 <http://ip/11043> <http://vector-a-score> "0.00181892644997"
33 <http://ip/10728> <http://vector-a-score> "0.000909463224986"
34 <http://ip/12239> <http://vector-a-score> "0.00181892644997"
35 <http://ip/10289> <http://vector-a-score> "0.000909463224986"
36 <http://ip/12444> <http://vector-a-score> "0.000909463224986"
37 <http://ip/10281> <http://vector-a-score> "0.00272838967496"
38 <http://ip/11054> <http://vector-a-score> "0.000909463224986"
39 <http://ip/11542> <http://vector-a-score> "0.000909463224986"
40 <http://ip/10960> <http://vector-a-score> "0.000909463224986"
41 <http://ip/12328> <http://vector-a-score> "0.000909463224986"
42 <http://ip/11061> <http://vector-a-score> "0.000909463224986"
43 <http://ip/10205> <http://vector-a-score> "0.000909463224986"
44 <http://ip/10204> <http://vector-a-score> "0.000909463224986"
45 <http://ip/12538> <http://vector-b-score> "7.36324447145e-05"
46 <http://ip/10298> <http://vector-b-score> "9.20405558932e-06"
47 <http://ip/11052> <http://vector-b-score> "7.36324447144e-05"
48 <http://ip/10136> <http://vector-b-score> "7.36324447144e-05"
49 <http://ip/11052> <http://vector-c-score> "1.27498382829e-05"
50 <http://ip/10136> <http://vector-c-score> "6.37491914145e-06"
51 <http://ip/12538> <http://vector-c-score> "2.32043901682e-05"
52 <http://ip/10298> <http://vector-c-score> "2.16106603828e-05"
done with iterNo 7
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/29792> <http://vector-a-score> "0.000195474898921"
1 <http://ip/12418> <http://vector-a-score> "0.000879637045145"
2 <http://ip/10284> <http://vector-a-score> "0.00122171811826"
3 <http://ip/10582> <http://vector-a-score> "0.000342081073112"
4 <http://ip/10914> <http://vector-a-score> "0.000305429529564"
5 <http://ip/10857> <http://vector-a-score> "8.5520268278e-05"
6 <http://ip/11339> <http://vector-a-score> "0.00175927409029"
7 <http://ip/12685> <http://vector-a-score> "0.000195474898921"
8 <http://ip/12538> <http://vector-a-score> "0.000209868193609"
9 <http://ip/11052> <http://vector-a-score> "9.77374494606e-05"
10 <http://ip/10964> <http://vector-a-score> "2.44343623651e-05"
11 <http://ip/10581> <http://vector-a-score> "0.000354298254295"
12 <http://ip/10580> <http://vector-a-score> "0.000354298254295"
13 <http://ip/11043> <http://vector-a-score> "2.44343623651e-05"
14 <http://ip/10371> <http://vector-a-score> "0.000317646710747"
15 <http://ip/11342> <http://vector-a-score> "0.000146606174191"
16 <http://ip/10960> <http://vector-a-score> "1.22171811826e-05"
17 <http://ip/12672> <http://vector-a-score> "0.000122171811826"
18 <http://ip/11093> <http://vector-a-score> "4.88687247303e-05"
19 <http://ip/12329> <http://vector-a-score> "3.66515435477e-05"
20 <http://ip/11017> <http://vector-a-score> "9.77374494606e-05"
21 <http://ip/10486> <http://vector-a-score> "1.22171811826e-05"
22 <http://ip/12239> <http://vector-a-score> "2.44343623651e-05"
23 <http://ip/10281> <http://vector-a-score> "3.66515435477e-05"
24 <http://ip/10801> <http://vector-a-score> "3.66515435477e-05"
25 <http://ip/10136> <http://vector-a-score> "4.88687247303e-05"
26 <http://ip/12322> <http://vector-a-score> "7.33030870954e-05"
27 <http://ip/1053> <http://vector-a-score> "3.66515435477e-05"
28 <http://ip/10963> <http://vector-a-score> "3.66515435477e-05"
29 <http://ip/10298> <http://vector-a-score> "1.79916183598e-06"
30 <http://ip/12327> <http://vector-a-score> "4.88687247303e-05"
31 <http://ip/12328> <http://vector-a-score> "1.22171811826e-05"
32 <http://ip/12677> <http://vector-a-score> "2.44343623651e-05"
33 <http://ip/11016> <http://vector-a-score> "9.77374494606e-05"
34 <http://ip/10205> <http://vector-a-score> "1.22171811826e-05"
35 <http://ip/11542> <http://vector-a-score> "1.22171811826e-05"
36 <http://ip/11054> <http://vector-a-score> "1.22171811826e-05"
37 <http://ip/10621> <http://vector-a-score> "1.22171811826e-05"
38 <http://ip/10289> <http://vector-a-score> "1.22171811826e-05"
39 <http://ip/11061> <http://vector-a-score> "1.22171811826e-05"
40 <http://ip/10204> <http://vector-a-score> "1.22171811826e-05"
41 <http://ip/12444> <http://vector-a-score> "1.22171811826e-05"
42 <http://ip/10728> <http://vector-a-score> "1.22171811826e-05"
43 <http://ip/10632> <http://vector-a-score> "1.22171811826e-05"
44 <http://ip/1253> <http://vector-a-score> "1.22171811826e-05"
45 <http://ip/12538> <http://vector-b-score> "0.00908725075445"
46 <http://ip/11052> <http://vector-b-score> "0.00908725075447"
47 <http://ip/10136> <http://vector-b-score> "0.00908725075447"
48 <http://ip/10298> <http://vector-b-score> "0.00113590634431"
49 <http://ip/11052> <http://vector-c-score> "0.00157369789895"
50 <http://ip/12538> <http://vector-c-score> "0.000211196640311"
51 <http://ip/10136> <http://vector-c-score> "0.000786848949477"
52 <http://ip/10298> <http://vector-c-score> "1.44844029427e-05"
done with iterNo 8
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/10915> <http://vector-a-score> "0.0507122231627"
1 <http://ip/12685> <http://vector-a-score> "0.00901550634003"
2 <http://ip/12418> <http://vector-a-score> "0.0405697785301"
3 <http://ip/10581> <http://vector-a-score> "0.0163406052413"
4 <http://ip/10284> <http://vector-a-score> "0.0563469146252"
5 <http://ip/10580> <http://vector-a-score> "0.0163406052413"
6 <http://ip/10298> <http://vector-a-score> "0.0102407708488"
7 <http://ip/11052> <http://vector-a-score> "0.00450775317002"
8 <http://ip/11016> <http://vector-a-score> "0.00450775317002"
9 <http://ip/10582> <http://vector-a-score> "0.0157771360951"
10 <http://ip/10857> <http://vector-a-score> "0.00394428402376"
11 <http://ip/10963> <http://vector-a-score> "0.00169040743876"
12 <http://ip/11342> <http://vector-a-score> "0.00676162975502"
13 <http://ip/12538> <http://vector-a-score> "0.0909416731304"
14 <http://ip/29792> <http://vector-a-score> "0.00901550634003"
15 <http://ip/10371> <http://vector-a-score> "0.0146501978026"
16 <http://ip/12327> <http://vector-a-score> "0.00225387658501"
17 <http://ip/10914> <http://vector-a-score> "0.0140867286563"
18 <http://ip/11542> <http://vector-a-score> "0.000563469146252"
19 <http://ip/11093> <http://vector-a-score> "0.00225387658501"
20 <http://ip/10204> <http://vector-a-score> "0.000563469146252"
21 <http://ip/10960> <http://vector-a-score> "0.000563469146252"
22 <http://ip/12672> <http://vector-a-score> "0.00563469146252"
23 <http://ip/12239> <http://vector-a-score> "0.0011269382925"
24 <http://ip/12322> <http://vector-a-score> "0.00338081487751"
25 <http://ip/12329> <http://vector-a-score> "0.00169040743876"
26 <http://ip/10964> <http://vector-a-score> "0.0011269382925"
27 <http://ip/11017> <http://vector-a-score> "0.00450775317002"
28 <http://ip/10801> <http://vector-a-score> "0.00169040743876"
29 <http://ip/11043> <http://vector-a-score> "0.0011269382925"
30 <http://ip/10205> <http://vector-a-score> "0.000563469146252"
31 <http://ip/1053> <http://vector-a-score> "0.00169040743876"
32 <http://ip/10136> <http://vector-a-score> "0.00225387658501"
33 <http://ip/12677> <http://vector-a-score> "0.0011269382925"
34 <http://ip/10632> <http://vector-a-score> "0.000563469146252"
35 <http://ip/10281> <http://vector-a-score> "0.00169040743876"
36 <http://ip/10486> <http://vector-a-score> "0.000563469146252"
37 <http://ip/11054> <http://vector-a-score> "0.000563469146252"
38 <http://ip/12328> <http://vector-a-score> "0.000563469146252"
39 <http://ip/12444> <http://vector-a-score> "0.000563469146252"
40 <http://ip/1253> <http://vector-a-score> "0.000563469146252"
41 <http://ip/11061> <http://vector-a-score> "0.000563469146252"
42 <http://ip/10621> <http://vector-a-score> "0.000563469146252"
43 <http://ip/10289> <http://vector-a-score> "0.000563469146252"
44 <http://ip/10728> <http://vector-a-score> "0.000563469146252"
45 <http://ip/11052> <http://vector-b-score> "0.000122087852908"
46 <http://ip/12538> <http://vector-b-score> "0.000122087852909"
47 <http://ip/10136> <http://vector-b-score> "0.000122087852908"
48 <http://ip/10298> <http://vector-b-score> "1.52609816136e-05"
49 <http://ip/11052> <http://vector-c-score> "2.11387654839e-05"
50 <http://ip/10915> <http://vector-c-score> "3.17081482258e-05"
51 <http://ip/10298> <http://vector-c-score> "2.4011657824e-05"
52 <http://ip/10136> <http://vector-c-score> "1.05693827419e-05"
done with iterNo 9
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/10582> <http://vector-a-score> "0.00055213071248"
1 <http://ip/11339> <http://vector-a-score> "0.00283952937847"
2 <http://ip/12418> <http://vector-a-score> "0.00141976468923"
3 <http://ip/10284> <http://vector-a-score> "0.00197189540171"
